0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,34,34,36,34,32,36,26,30,32,32,26,28,34,38,28
32,34,34,36,34,32,36,26,30,24,32,34,28,26,38,36
32,30,34,36,34,32,36,38,34,28,24,30,32,34,38,20
32,34,34,32,34,36,36,34,30,36,36,30,28,42,34,36
32,32,32,28,32,28,32,32,32,36,28,28,32,32,36,40
32,36,32,24,32,32,32,28,28,36,40,36,28,32,32,32
32,28,34,26,38,38,32,36,36,36,30,34,30,34,32,32
32,32,26,38,34,38,28,36,32,36,34,26,30,38,32,36
32,34,32,30,32,26,24,30,34,32,34,28,34,32,34,28
32,30,40,34,36,42,28,30,38,24,30,28,34,36,34,32
32,34,32,26,32,30,32,30,30,32,26,36,30,36,26,32
32,26,32,26,28,34,36,34,30,32,26,28,34,24,38,36
32,32,34,34,30,30,32,32,28,28,26,34,30,30,36,28
32,32,34,26,34,34,28,36,36,36,34,34,34,34,32,32
32,30,30,32,34,32,28,38,32,26,30,36,26,36,36,50
32,30,34,36,30,36,36,22,36,30,30,36,34,36,32,38
32,28,32,32,36,28,32,28,38,30,30,26,30,26,26,42
32,28,36,36,32,32,40,44,34,34,38,26,30,26,30,30
32,28,32,28,40,36,28,32,30,26,34,30,26,30,34,30
32,32,28,36,36,28,28,36,22,30,30,30,38,30,26,34
32,26,30,32,30,36,32,30,28,30,30,32,34,32,32,30
32,30,26,40,26,28,32,34,44,34,34,32,38,32,32,34
32,30,24,30,32,26,28,30,28,34,28,26,32,34,36,30
32,34,28,38,32,38,32,30,28,38,24,26,32,30,32,38
32,32,38,30,34,34,28,28,34,34,32,32,36,28,30,30
32,28,26,30,42,30,40,28,34,38,28,32,28,32,34,30
32,36,30,30,30,38,32,36,34,34,28,32,32,28,30,30
32,28,34,34,30,38,36,32,30,30,36,32,44,32,38,38
32,30,32,34,28,34,32,34,32,26,36,34,32,34,32,30
32,30,36,30,36,34,28,30,28,38,28,34,36,30,32,30
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,30,34,32,30,32,32,26,34,32,36,26,28,22,22,32
32,30,34,32,30,32,32,26,26,32,28,42,36,38,30,32
32,30,38,40,30,28,28,30,30,32,32,30,32,26,42,32
32,34,30,28,30,32,36,34,34,32,28,30,36,26,38,32
32,28,28,36,24,40,28,32,32,40,32,36,32,28,32,32
32,32,36,40,40,28,36,36,28,40,36,36,28,28,36,32
32,28,34,34,34,34,36,32,28,28,30,26,34,38,20,28
32,32,34,38,30,34,40,24,32,36,34,34,26,34,36,32
32,30,32,34,32,30,32,34,30,40,38,36,30,32,30,36
32,42,32,30,36,30,28,26,34,32,42,28,30,36,38,32
32,26,36,30,24,30,28,26,34,36,34,20,34,40,34,32
32,34,36,30,36,34,32,30,34,36,34,28,38,28,30,36
32,36,30,26,26,38,40,28,36,32,30,26,26,30,28,32
32,36,30,34,30,42,20,32,36,32,30,34,22,26,32,28
32,34,34,32,34,28,32,30,32,30,26,28,26,32,32,34
32,34,30,28,30,32,32,38,36,34,34,36,34,32,36,30
32,36,36,36,32,32,32,28,34,34,38,34,38,26,30,30
32,36,32,32,28,36,32,36,38,30,30,34,30,34,34,34
32,24,40,24,28,28,32,32,34,34,30,38,26,26,34,34
32,28,36,32,40,36,32,36,34,30,34,30,30,34,34,30
32,26,30,40,30,36,24,30,28,38,30,32,26,32,32,30
32,30,42,32,26,28,24,34,28,26,34,32,30,32,32,34
32,42,28,30,36,34,28,34,28,30,32,26,36,26,36,34
32,30,32,38,36,30,32,34,36,26,36,34,28,30,24,34
32,32,26,34,26,26,32,32,30,30,32,32,24,32,30,30
32,28,30,34,34,22,28,32,46,34,28,32,32,36,34,30
32,32,22,34,38,34,32,24,38,26,32,40,36,28,34,30
32,24,34,30,38,34,28,28,34,38,32,32,32,32,34,30
32,30,32,34,40,30,28,30,32,34,28,34,36,30,28,34
32,46,44,38,32,30,32,34,36,38,20,34,32,34,28,34
